[2020-08-25 08:59:14.224] [plc_logger] [info] Execution time for plc min loop - ns; 49405 ; mutexlockTime ; 127 ; difference ; 49278
[2020-08-25 08:59:14.424] [plc_logger] [info] Execution time for plc min loop - ns; 69426 ; mutexlockTime ; 1748 ; difference ; 67678
[2020-08-25 08:59:14.624] [plc_logger] [info] Execution time for plc min loop - ns; 47130 ; mutexlockTime ; 1332 ; difference ; 45798
[2020-08-25 08:59:14.824] [plc_logger] [info] Execution time for plc min loop - ns; 44365 ; mutexlockTime ; 1295 ; difference ; 43070
[2020-08-25 08:59:15.024] [plc_logger] [info] Execution time for plc min loop - ns; 48902 ; mutexlockTime ; 1479 ; difference ; 47423
[2020-08-25 08:59:15.224] [plc_logger] [info] Execution time for plc min loop - ns; 43986 ; mutexlockTime ; 1095 ; difference ; 42891
[2020-08-25 08:59:15.424] [plc_logger] [info] Execution time for plc min loop - ns; 48591 ; mutexlockTime ; 1310 ; difference ; 47281
[2020-08-25 08:59:15.624] [plc_logger] [info] Execution time for plc min loop - ns; 38083 ; mutexlockTime ; 1417 ; difference ; 36666
[2020-08-25 08:59:15.824] [plc_logger] [info] Execution time for plc min loop - ns; 40468 ; mutexlockTime ; 1461 ; difference ; 39007
[2020-08-25 08:59:16.024] [plc_logger] [info] Execution time for plc min loop - ns; 55357 ; mutexlockTime ; 1220 ; difference ; 54137
[2020-08-25 08:59:16.224] [plc_logger] [info] Execution time for plc min loop - ns; 38602 ; mutexlockTime ; 799 ; difference ; 37803
[2020-08-25 08:59:16.424] [plc_logger] [info] Execution time for plc min loop - ns; 36003 ; mutexlockTime ; 1034 ; difference ; 34969
[2020-08-25 08:59:16.624] [plc_logger] [info] Execution time for plc min loop - ns; 37888 ; mutexlockTime ; 1306 ; difference ; 36582
[2020-08-25 08:59:16.827] [plc_logger] [info] Execution time for plc min loop - ns; 2935171 ; mutexlockTime ; 2898279 ; difference ; 36892
[2020-08-25 08:59:17.030] [plc_logger] [info] Execution time for plc min loop - ns; 6397827 ; mutexlockTime ; 6355143 ; difference ; 42684
[2020-08-25 08:59:17.233] [plc_logger] [info] Execution time for plc min loop - ns; 9019002 ; mutexlockTime ; 8966954 ; difference ; 52048
[2020-08-25 08:59:17.435] [plc_logger] [info] Execution time for plc min loop - ns; 11722415 ; mutexlockTime ; 11684713 ; difference ; 37702
[2020-08-25 08:59:17.624] [plc_logger] [info] Execution time for plc min loop - ns; 33921 ; mutexlockTime ; 322 ; difference ; 33599
[2020-08-25 08:59:17.824] [plc_logger] [info] Execution time for plc min loop - ns; 34474 ; mutexlockTime ; 343 ; difference ; 34131
[2020-08-25 08:59:18.024] [plc_logger] [info] Execution time for plc min loop - ns; 62396 ; mutexlockTime ; 721 ; difference ; 61675
[2020-08-25 08:59:18.224] [plc_logger] [info] Execution time for plc min loop - ns; 76256 ; mutexlockTime ; 911 ; difference ; 75345
[2020-08-25 08:59:18.424] [plc_logger] [info] Execution time for plc min loop - ns; 32247 ; mutexlockTime ; 271 ; difference ; 31976
[2020-08-25 08:59:18.624] [plc_logger] [info] Execution time for plc min loop - ns; 32469 ; mutexlockTime ; 320 ; difference ; 32149
[2020-08-25 08:59:18.824] [plc_logger] [info] Execution time for plc min loop - ns; 78852 ; mutexlockTime ; 626 ; difference ; 78226
[2020-08-25 08:59:19.024] [plc_logger] [info] Execution time for plc min loop - ns; 37745 ; mutexlockTime ; 577 ; difference ; 37168
[2020-08-25 08:59:19.224] [plc_logger] [info] Execution time for plc min loop - ns; 39060 ; mutexlockTime ; 1119 ; difference ; 37941
[2020-08-25 08:59:19.424] [plc_logger] [info] Execution time for plc min loop - ns; 30679 ; mutexlockTime ; 274 ; difference ; 30405
