[2020-08-25 09:12:35.858] [plc_logger] [info] Execution time for plc min loop - ns; 42731 ; mutexlockTime ; 104 ; difference ; 42627
[2020-08-25 09:12:36.058] [plc_logger] [info] Execution time for plc min loop - ns; 54194 ; mutexlockTime ; 1552 ; difference ; 52642
[2020-08-25 09:12:36.258] [plc_logger] [info] Execution time for plc min loop - ns; 40698 ; mutexlockTime ; 1156 ; difference ; 39542
[2020-08-25 09:12:36.458] [plc_logger] [info] Execution time for plc min loop - ns; 39436 ; mutexlockTime ; 1152 ; difference ; 38284
[2020-08-25 09:12:36.658] [plc_logger] [info] Execution time for plc min loop - ns; 38929 ; mutexlockTime ; 1426 ; difference ; 37503
[2020-08-25 09:12:36.858] [plc_logger] [info] Execution time for plc min loop - ns; 30830 ; mutexlockTime ; 417 ; difference ; 30413
[2020-08-25 09:12:37.058] [plc_logger] [info] Execution time for plc min loop - ns; 35210 ; mutexlockTime ; 1004 ; difference ; 34206
[2020-08-25 09:12:37.258] [plc_logger] [info] Execution time for plc min loop - ns; 33862 ; mutexlockTime ; 606 ; difference ; 33256
[2020-08-25 09:12:37.458] [plc_logger] [info] Execution time for plc min loop - ns; 33494 ; mutexlockTime ; 811 ; difference ; 32683
[2020-08-25 09:12:37.658] [plc_logger] [info] Execution time for plc min loop - ns; 36592 ; mutexlockTime ; 1045 ; difference ; 35547
[2020-08-25 09:12:37.858] [plc_logger] [info] Execution time for plc min loop - ns; 42899 ; mutexlockTime ; 600 ; difference ; 42299
[2020-08-25 09:12:38.058] [plc_logger] [info] Execution time for plc min loop - ns; 47440 ; mutexlockTime ; 457 ; difference ; 46983
[2020-08-25 09:12:38.258] [plc_logger] [info] Execution time for plc min loop - ns; 39882 ; mutexlockTime ; 1031 ; difference ; 38851
[2020-08-25 09:12:38.458] [plc_logger] [info] Execution time for plc min loop - ns; 39344 ; mutexlockTime ; 443 ; difference ; 38901
[2020-08-25 09:12:38.658] [plc_logger] [info] Execution time for plc min loop - ns; 37197 ; mutexlockTime ; 691 ; difference ; 36506
[2020-08-25 09:12:38.858] [plc_logger] [info] Execution time for plc min loop - ns; 48679 ; mutexlockTime ; 880 ; difference ; 47799
[2020-08-25 09:12:39.058] [plc_logger] [info] Execution time for plc min loop - ns; 37615 ; mutexlockTime ; 879 ; difference ; 36736
[2020-08-25 09:12:39.258] [plc_logger] [info] Execution time for plc min loop - ns; 41057 ; mutexlockTime ; 748 ; difference ; 40309
[2020-08-25 09:12:39.458] [plc_logger] [info] Execution time for plc min loop - ns; 36834 ; mutexlockTime ; 839 ; difference ; 35995
[2020-08-25 09:12:39.658] [plc_logger] [info] Execution time for plc min loop - ns; 48477 ; mutexlockTime ; 797 ; difference ; 47680
[2020-08-25 09:12:39.858] [plc_logger] [info] Execution time for plc min loop - ns; 50894 ; mutexlockTime ; 1008 ; difference ; 49886
[2020-08-25 09:12:40.058] [plc_logger] [info] Execution time for plc min loop - ns; 41748 ; mutexlockTime ; 1254 ; difference ; 40494
[2020-08-25 09:12:40.258] [plc_logger] [info] Execution time for plc min loop - ns; 42306 ; mutexlockTime ; 968 ; difference ; 41338
[2020-08-25 09:12:40.458] [plc_logger] [info] Execution time for plc min loop - ns; 42636 ; mutexlockTime ; 1185 ; difference ; 41451
[2020-08-25 09:12:40.658] [plc_logger] [info] Execution time for plc min loop - ns; 37804 ; mutexlockTime ; 660 ; difference ; 37144
