[2020-08-25 10:45:08.458] [plc_logger] [info] Execution time for plc min loop - ns; 39956 ; mutexlockTime ; 105 ; difference ; 39851
[2020-08-25 10:45:08.658] [plc_logger] [info] Execution time for plc min loop - ns; 33171 ; mutexlockTime ; 1102 ; difference ; 32069
[2020-08-25 10:45:08.858] [plc_logger] [info] Execution time for plc min loop - ns; 48479 ; mutexlockTime ; 1105 ; difference ; 47374
[2020-08-25 10:45:09.058] [plc_logger] [info] Execution time for plc min loop - ns; 42500 ; mutexlockTime ; 1186 ; difference ; 41314
[2020-08-25 10:45:09.258] [plc_logger] [info] Execution time for plc min loop - ns; 43068 ; mutexlockTime ; 1108 ; difference ; 41960
[2020-08-25 10:45:09.458] [plc_logger] [info] Execution time for plc min loop - ns; 34575 ; mutexlockTime ; 817 ; difference ; 33758
[2020-08-25 10:45:09.658] [plc_logger] [info] Execution time for plc min loop - ns; 49572 ; mutexlockTime ; 718 ; difference ; 48854
[2020-08-25 10:45:09.858] [plc_logger] [info] Execution time for plc min loop - ns; 58586 ; mutexlockTime ; 308 ; difference ; 58278
[2020-08-25 10:45:10.058] [plc_logger] [info] Execution time for plc min loop - ns; 42469 ; mutexlockTime ; 373 ; difference ; 42096
[2020-08-25 10:45:10.258] [plc_logger] [info] Execution time for plc min loop - ns; 42567 ; mutexlockTime ; 991 ; difference ; 41576
[2020-08-25 10:45:10.458] [plc_logger] [info] Execution time for plc min loop - ns; 51835 ; mutexlockTime ; 716 ; difference ; 51119
[2020-08-25 10:45:10.658] [plc_logger] [info] Execution time for plc min loop - ns; 66138 ; mutexlockTime ; 819 ; difference ; 65319
[2020-08-25 10:45:10.858] [plc_logger] [info] Execution time for plc min loop - ns; 45589 ; mutexlockTime ; 262 ; difference ; 45327
[2020-08-25 10:45:11.058] [plc_logger] [info] Execution time for plc min loop - ns; 54186 ; mutexlockTime ; 358 ; difference ; 53828
[2020-08-25 10:45:11.258] [plc_logger] [info] Execution time for plc min loop - ns; 41648 ; mutexlockTime ; 967 ; difference ; 40681
[2020-08-25 10:45:11.458] [plc_logger] [info] Execution time for plc min loop - ns; 40178 ; mutexlockTime ; 839 ; difference ; 39339
[2020-08-25 10:45:11.658] [plc_logger] [info] Execution time for plc min loop - ns; 41177 ; mutexlockTime ; 1241 ; difference ; 39936
[2020-08-25 10:45:11.858] [plc_logger] [info] Execution time for plc min loop - ns; 51366 ; mutexlockTime ; 1031 ; difference ; 50335
[2020-08-25 10:45:12.058] [plc_logger] [info] Execution time for plc min loop - ns; 49045 ; mutexlockTime ; 957 ; difference ; 48088
[2020-08-25 10:45:12.258] [plc_logger] [info] Execution time for plc min loop - ns; 39840 ; mutexlockTime ; 566 ; difference ; 39274
[2020-08-25 10:45:12.458] [plc_logger] [info] Execution time for plc min loop - ns; 39927 ; mutexlockTime ; 533 ; difference ; 39394
[2020-08-25 10:45:12.658] [plc_logger] [info] Execution time for plc min loop - ns; 40144 ; mutexlockTime ; 807 ; difference ; 39337
[2020-08-25 10:45:12.858] [plc_logger] [info] Execution time for plc min loop - ns; 64385 ; mutexlockTime ; 361 ; difference ; 64024
[2020-08-25 10:45:13.058] [plc_logger] [info] Execution time for plc min loop - ns; 38356 ; mutexlockTime ; 368 ; difference ; 37988
[2020-08-25 10:45:13.258] [plc_logger] [info] Execution time for plc min loop - ns; 51907 ; mutexlockTime ; 390 ; difference ; 51517
[2020-08-25 10:45:13.458] [plc_logger] [info] Execution time for plc min loop - ns; 42674 ; mutexlockTime ; 1173 ; difference ; 41501
[2020-08-25 10:45:13.658] [plc_logger] [info] Execution time for plc min loop - ns; 67323 ; mutexlockTime ; 325 ; difference ; 66998
[2020-08-25 10:45:13.858] [plc_logger] [info] Execution time for plc min loop - ns; 41096 ; mutexlockTime ; 488 ; difference ; 40608
[2020-08-25 10:45:14.058] [plc_logger] [info] Execution time for plc min loop - ns; 54320 ; mutexlockTime ; 501 ; difference ; 53819
[2020-08-25 10:45:14.258] [plc_logger] [info] Execution time for plc min loop - ns; 53385 ; mutexlockTime ; 996 ; difference ; 52389
[2020-08-25 10:45:14.458] [plc_logger] [info] Execution time for plc min loop - ns; 54519 ; mutexlockTime ; 1800 ; difference ; 52719
[2020-08-25 10:45:14.658] [plc_logger] [info] Execution time for plc min loop - ns; 71050 ; mutexlockTime ; 878 ; difference ; 70172
[2020-08-25 10:45:14.858] [plc_logger] [info] Execution time for plc min loop - ns; 54237 ; mutexlockTime ; 960 ; difference ; 53277
[2020-08-25 10:45:15.058] [plc_logger] [info] Execution time for plc min loop - ns; 72157 ; mutexlockTime ; 880 ; difference ; 71277
[2020-08-25 10:45:15.258] [plc_logger] [info] Execution time for plc min loop - ns; 62596 ; mutexlockTime ; 12611 ; difference ; 49985
[2020-08-25 10:45:15.458] [plc_logger] [info] Execution time for plc min loop - ns; 61314 ; mutexlockTime ; 984 ; difference ; 60330
[2020-08-25 10:45:15.658] [plc_logger] [info] Execution time for plc min loop - ns; 52259 ; mutexlockTime ; 1155 ; difference ; 51104
[2020-08-25 10:45:15.858] [plc_logger] [info] Execution time for plc min loop - ns; 65628 ; mutexlockTime ; 386 ; difference ; 65242
[2020-08-25 10:45:16.058] [plc_logger] [info] Execution time for plc min loop - ns; 109433 ; mutexlockTime ; 505 ; difference ; 108928
[2020-08-25 10:45:16.258] [plc_logger] [info] Execution time for plc min loop - ns; 53941 ; mutexlockTime ; 1068 ; difference ; 52873
[2020-08-25 10:45:16.458] [plc_logger] [info] Execution time for plc min loop - ns; 51401 ; mutexlockTime ; 1146 ; difference ; 50255
[2020-08-25 10:45:16.658] [plc_logger] [info] Execution time for plc min loop - ns; 71229 ; mutexlockTime ; 945 ; difference ; 70284
[2020-08-25 10:45:16.858] [plc_logger] [info] Execution time for plc min loop - ns; 75149 ; mutexlockTime ; 1061 ; difference ; 74088
[2020-08-25 10:45:17.058] [plc_logger] [info] Execution time for plc min loop - ns; 46594 ; mutexlockTime ; 2016 ; difference ; 44578
[2020-08-25 10:45:17.258] [plc_logger] [info] Execution time for plc min loop - ns; 65697 ; mutexlockTime ; 1023 ; difference ; 64674
[2020-08-25 10:45:17.458] [plc_logger] [info] Execution time for plc min loop - ns; 46780 ; mutexlockTime ; 1054 ; difference ; 45726
[2020-08-25 10:45:17.658] [plc_logger] [info] Execution time for plc min loop - ns; 44421 ; mutexlockTime ; 1365 ; difference ; 43056
[2020-08-25 10:45:17.858] [plc_logger] [info] Execution time for plc min loop - ns; 53647 ; mutexlockTime ; 1756 ; difference ; 51891
[2020-08-25 10:45:18.058] [plc_logger] [info] Execution time for plc min loop - ns; 43446 ; mutexlockTime ; 944 ; difference ; 42502
[2020-08-25 10:45:18.258] [plc_logger] [info] Execution time for plc min loop - ns; 56862 ; mutexlockTime ; 1835 ; difference ; 55027
[2020-08-25 10:45:18.458] [plc_logger] [info] Execution time for plc min loop - ns; 64647 ; mutexlockTime ; 480 ; difference ; 64167
[2020-08-25 10:45:18.658] [plc_logger] [info] Execution time for plc min loop - ns; 46998 ; mutexlockTime ; 1164 ; difference ; 45834
[2020-08-25 10:45:18.858] [plc_logger] [info] Execution time for plc min loop - ns; 46134 ; mutexlockTime ; 2002 ; difference ; 44132
[2020-08-25 10:45:19.058] [plc_logger] [info] Execution time for plc min loop - ns; 57185 ; mutexlockTime ; 1126 ; difference ; 56059
[2020-08-25 10:45:19.258] [plc_logger] [info] Execution time for plc min loop - ns; 63289 ; mutexlockTime ; 2088 ; difference ; 61201
[2020-08-25 10:45:19.458] [plc_logger] [info] Execution time for plc min loop - ns; 77947 ; mutexlockTime ; 1104 ; difference ; 76843
[2020-08-25 10:45:19.658] [plc_logger] [info] Execution time for plc min loop - ns; 52730 ; mutexlockTime ; 2201 ; difference ; 50529
[2020-08-25 10:45:19.858] [plc_logger] [info] Execution time for plc min loop - ns; 48760 ; mutexlockTime ; 1118 ; difference ; 47642
[2020-08-25 10:45:20.058] [plc_logger] [info] Execution time for plc min loop - ns; 65859 ; mutexlockTime ; 1031 ; difference ; 64828
[2020-08-25 10:45:20.258] [plc_logger] [info] Execution time for plc min loop - ns; 40527 ; mutexlockTime ; 1078 ; difference ; 39449
[2020-08-25 10:45:20.458] [plc_logger] [info] Execution time for plc min loop - ns; 83813 ; mutexlockTime ; 1028 ; difference ; 82785
[2020-08-25 10:45:20.658] [plc_logger] [info] Execution time for plc min loop - ns; 47059 ; mutexlockTime ; 1138 ; difference ; 45921
[2020-08-25 10:45:20.858] [plc_logger] [info] Execution time for plc min loop - ns; 53293 ; mutexlockTime ; 1012 ; difference ; 52281
[2020-08-25 10:45:21.058] [plc_logger] [info] Execution time for plc min loop - ns; 56278 ; mutexlockTime ; 1178 ; difference ; 55100
[2020-08-25 10:45:21.258] [plc_logger] [info] Execution time for plc min loop - ns; 53700 ; mutexlockTime ; 819 ; difference ; 52881
[2020-08-25 10:45:21.458] [plc_logger] [info] Execution time for plc min loop - ns; 45308 ; mutexlockTime ; 1048 ; difference ; 44260
[2020-08-25 10:45:21.658] [plc_logger] [info] Execution time for plc min loop - ns; 45250 ; mutexlockTime ; 1047 ; difference ; 44203
[2020-08-25 10:45:21.858] [plc_logger] [info] Execution time for plc min loop - ns; 45851 ; mutexlockTime ; 1137 ; difference ; 44714
[2020-08-25 10:45:22.058] [plc_logger] [info] Execution time for plc min loop - ns; 43462 ; mutexlockTime ; 1689 ; difference ; 41773
[2020-08-25 10:45:22.258] [plc_logger] [info] Execution time for plc min loop - ns; 45970 ; mutexlockTime ; 1881 ; difference ; 44089
[2020-08-25 10:45:22.458] [plc_logger] [info] Execution time for plc min loop - ns; 53366 ; mutexlockTime ; 1881 ; difference ; 51485
[2020-08-25 10:45:22.658] [plc_logger] [info] Execution time for plc min loop - ns; 47962 ; mutexlockTime ; 1003 ; difference ; 46959
[2020-08-25 10:45:22.858] [plc_logger] [info] Execution time for plc min loop - ns; 82107 ; mutexlockTime ; 1100 ; difference ; 81007
[2020-08-25 10:45:23.058] [plc_logger] [info] Execution time for plc min loop - ns; 49078 ; mutexlockTime ; 976 ; difference ; 48102
[2020-08-25 10:45:23.258] [plc_logger] [info] Execution time for plc min loop - ns; 41542 ; mutexlockTime ; 664 ; difference ; 40878
[2020-08-25 10:45:23.458] [plc_logger] [info] Execution time for plc min loop - ns; 84996 ; mutexlockTime ; 2977 ; difference ; 82019
[2020-08-25 10:45:23.658] [plc_logger] [info] Execution time for plc min loop - ns; 53747 ; mutexlockTime ; 901 ; difference ; 52846
[2020-08-25 10:45:23.858] [plc_logger] [info] Execution time for plc min loop - ns; 85111 ; mutexlockTime ; 3207 ; difference ; 81904
[2020-08-25 10:45:24.058] [plc_logger] [info] Execution time for plc min loop - ns; 54946 ; mutexlockTime ; 995 ; difference ; 53951
[2020-08-25 10:45:24.258] [plc_logger] [info] Execution time for plc min loop - ns; 43468 ; mutexlockTime ; 1070 ; difference ; 42398
[2020-08-25 10:45:24.458] [plc_logger] [info] Execution time for plc min loop - ns; 48675 ; mutexlockTime ; 1040 ; difference ; 47635
[2020-08-25 10:45:24.658] [plc_logger] [info] Execution time for plc min loop - ns; 69874 ; mutexlockTime ; 2148 ; difference ; 67726
[2020-08-25 10:45:24.858] [plc_logger] [info] Execution time for plc min loop - ns; 42667 ; mutexlockTime ; 978 ; difference ; 41689
[2020-08-25 10:45:25.058] [plc_logger] [info] Execution time for plc min loop - ns; 55663 ; mutexlockTime ; 1031 ; difference ; 54632
