[2020-08-25 10:51:49.406] [plc_logger] [info] Execution time for plc min loop - ns; 35735 ; mutexlockTime ; 89 ; difference ; 35646
[2020-08-25 10:51:49.606] [plc_logger] [info] Execution time for plc min loop - ns; 46334 ; mutexlockTime ; 1059 ; difference ; 45275
[2020-08-25 10:51:49.806] [plc_logger] [info] Execution time for plc min loop - ns; 69707 ; mutexlockTime ; 1434 ; difference ; 68273
[2020-08-25 10:51:50.006] [plc_logger] [info] Execution time for plc min loop - ns; 67595 ; mutexlockTime ; 1348 ; difference ; 66247
[2020-08-25 10:51:50.206] [plc_logger] [info] Execution time for plc min loop - ns; 43597 ; mutexlockTime ; 987 ; difference ; 42610
[2020-08-25 10:51:50.406] [plc_logger] [info] Execution time for plc min loop - ns; 37033 ; mutexlockTime ; 533 ; difference ; 36500
[2020-08-25 10:51:50.606] [plc_logger] [info] Execution time for plc min loop - ns; 39593 ; mutexlockTime ; 1343 ; difference ; 38250
[2020-08-25 10:51:50.806] [plc_logger] [info] Execution time for plc min loop - ns; 43951 ; mutexlockTime ; 485 ; difference ; 43466
[2020-08-25 10:51:51.006] [plc_logger] [info] Execution time for plc min loop - ns; 40089 ; mutexlockTime ; 269 ; difference ; 39820
[2020-08-25 10:51:51.206] [plc_logger] [info] Execution time for plc min loop - ns; 63628 ; mutexlockTime ; 751 ; difference ; 62877
[2020-08-25 10:51:51.406] [plc_logger] [info] Execution time for plc min loop - ns; 58906 ; mutexlockTime ; 986 ; difference ; 57920
[2020-08-25 10:51:51.606] [plc_logger] [info] Execution time for plc min loop - ns; 42277 ; mutexlockTime ; 1213 ; difference ; 41064
[2020-08-25 10:51:51.806] [plc_logger] [info] Execution time for plc min loop - ns; 40734 ; mutexlockTime ; 1135 ; difference ; 39599
[2020-08-25 10:51:52.006] [plc_logger] [info] Execution time for plc min loop - ns; 46784 ; mutexlockTime ; 715 ; difference ; 46069
[2020-08-25 10:51:52.206] [plc_logger] [info] Execution time for plc min loop - ns; 37735 ; mutexlockTime ; 1032 ; difference ; 36703
[2020-08-25 10:51:52.406] [plc_logger] [info] Execution time for plc min loop - ns; 43492 ; mutexlockTime ; 557 ; difference ; 42935
[2020-08-25 10:51:52.606] [plc_logger] [info] Execution time for plc min loop - ns; 71909 ; mutexlockTime ; 927 ; difference ; 70982
[2020-08-25 10:51:52.806] [plc_logger] [info] Execution time for plc min loop - ns; 57096 ; mutexlockTime ; 1151 ; difference ; 55945
[2020-08-25 10:51:53.006] [plc_logger] [info] Execution time for plc min loop - ns; 65890 ; mutexlockTime ; 928 ; difference ; 64962
[2020-08-25 10:51:53.206] [plc_logger] [info] Execution time for plc min loop - ns; 62788 ; mutexlockTime ; 918 ; difference ; 61870
[2020-08-25 10:51:53.406] [plc_logger] [info] Execution time for plc min loop - ns; 44587 ; mutexlockTime ; 715 ; difference ; 43872
[2020-08-25 10:51:53.606] [plc_logger] [info] Execution time for plc min loop - ns; 38512 ; mutexlockTime ; 665 ; difference ; 37847
[2020-08-25 10:51:53.806] [plc_logger] [info] Execution time for plc min loop - ns; 33698 ; mutexlockTime ; 492 ; difference ; 33206
[2020-08-25 10:51:54.006] [plc_logger] [info] Execution time for plc min loop - ns; 43781 ; mutexlockTime ; 971 ; difference ; 42810
[2020-08-25 10:51:54.206] [plc_logger] [info] Execution time for plc min loop - ns; 46012 ; mutexlockTime ; 1233 ; difference ; 44779
[2020-08-25 10:51:54.406] [plc_logger] [info] Execution time for plc min loop - ns; 46196 ; mutexlockTime ; 983 ; difference ; 45213
[2020-08-25 10:51:54.606] [plc_logger] [info] Execution time for plc min loop - ns; 40185 ; mutexlockTime ; 747 ; difference ; 39438
[2020-08-25 10:51:54.806] [plc_logger] [info] Execution time for plc min loop - ns; 49968 ; mutexlockTime ; 804 ; difference ; 49164
[2020-08-25 10:51:55.006] [plc_logger] [info] Execution time for plc min loop - ns; 54566 ; mutexlockTime ; 749 ; difference ; 53817
[2020-08-25 10:51:55.206] [plc_logger] [info] Execution time for plc min loop - ns; 49532 ; mutexlockTime ; 856 ; difference ; 48676
[2020-08-25 10:51:55.406] [plc_logger] [info] Execution time for plc min loop - ns; 38339 ; mutexlockTime ; 941 ; difference ; 37398
[2020-08-25 10:51:55.606] [plc_logger] [info] Execution time for plc min loop - ns; 45174 ; mutexlockTime ; 867 ; difference ; 44307
[2020-08-25 10:51:55.806] [plc_logger] [info] Execution time for plc min loop - ns; 41998 ; mutexlockTime ; 1088 ; difference ; 40910
[2020-08-25 10:51:56.006] [plc_logger] [info] Execution time for plc min loop - ns; 39331 ; mutexlockTime ; 770 ; difference ; 38561
[2020-08-25 10:51:56.206] [plc_logger] [info] Execution time for plc min loop - ns; 49411 ; mutexlockTime ; 761 ; difference ; 48650
[2020-08-25 10:51:56.406] [plc_logger] [info] Execution time for plc min loop - ns; 64668 ; mutexlockTime ; 967 ; difference ; 63701
[2020-08-25 10:51:56.606] [plc_logger] [info] Execution time for plc min loop - ns; 45143 ; mutexlockTime ; 1322 ; difference ; 43821
